crop,storage_type,freshness_score,temperature,humidity,has_rotten_data,raw_days,spoilage_label
apple,room_temp,0.2217,41.28,84.95,1,4.51,4-7 days
apple,room_temp,0.0741,25.01,56.98,1,3.29,2-4 days
apple,room_temp,0.3345,40.77,92.94,1,4.8,4-7 days
apple,refrigerator,0.3762,3.55,89.94,1,14.14,7+ days
apple,room_temp,0.2231,22.7,37.71,1,5.12,4-7 days
apple,room_temp,0.5444,19.79,94.21,1,6.24,4-7 days
apple,refrigerator,0.3237,2.7,92.95,1,12.68,7+ days
apple,refrigerator,0.6185,2.72,90.7,1,18.25,7+ days
apple,refrigerator,0.7082,5.82,84.72,1,21.66,7+ days
apple,refrigerator,0.74,5.8,93.07,1,25.24,7+ days
apple,refrigerator,0.1714,4.56,92.27,1,10.28,7+ days
apple,freezer,0.8268,-14.81,64.06,1,79.88,7+ days
apple,room_temp,0.1819,30.06,38.09,1,5.6,4-7 days
apple,room_temp,0.3582,26.83,72.94,1,7.17,7+ days
apple,refrigerator,0.4222,3.36,89.68,1,16.37,7+ days
apple,room_temp,0.1744,24.19,74.6,1,5.12,4-7 days
apple,refrigerator,0.3709,7.38,93.31,1,15.58,7+ days
apple,refrigerator,0.855,5.29,90.38,1,25.06,7+ days
apple,refrigerator,0.2647,5.41,81.41,1,11.91,7+ days
apple,room_temp,0.2345,31.85,64.55,1,3.84,2-4 days
apple,room_temp,0.1897,38.47,52.67,1,4.23,4-7 days
apple,room_temp,0.2551,32.76,94.4,1,5.04,4-7 days
apple,room_temp,0.0785,37.44,87.02,1,2.55,2-4 days
apple,freezer,0.7262,-16.24,51.88,1,92.38,7+ days
apple,refrigerator,0.1968,4.16,81.91,1,9.93,7+ days
apple,refrigerator,0.8325,6.36,94.64,1,25.84,7+ days
apple,refrigerator,0.3961,3.5,88.24,1,14.57,7+ days
apple,refrigerator,0.4595,4.14,91.37,1,17.87,7+ days
apple,room_temp,0.1212,29.36,45.39,1,3.0,2-4 days
apple,room_temp,0.6617,33.81,44.78,1,6.87,4-7 days
apple,room_temp,0.0269,31.09,91.49,1,2.9,2-4 days
apple,room_temp,0.3737,38.28,36.4,1,6.53,4-7 days
apple,refrigerator,0.2652,3.06,91.26,1,12.22,7+ days
apple,refrigerator,0.8075,6.51,91.32,1,27.37,7+ days
apple,room_temp,0.1691,20.19,54.16,1,5.76,4-7 days
apple,freezer,0.8392,-12.08,65.79,1,118.54,7+ days
apple,room_temp,0.1638,36.28,72.09,1,3.56,2-4 days
apple,room_temp,0.1788,26.98,57.24,1,3.44,2-4 days
apple,refrigerator,0.2454,4.96,80.17,1,15.38,7+ days
apple,room_temp,0.216,24.86,87.12,1,3.31,2-4 days
apple,room_temp,0.1978,31.29,93.16,1,5.03,4-7 days
apple,refrigerator,0.7807,7.7,93.35,1,23.57,7+ days
apple,room_temp,0.6745,34.43,44.76,1,7.94,7+ days
apple,freezer,0.5976,-18.5,61.88,1,92.94,7+ days
apple,room_temp,0.2032,37.51,94.98,1,4.49,4-7 days
apple,freezer,0.8778,-13.94,54.57,1,105.62,7+ days
apple,refrigerator,0.7058,5.31,88.41,1,22.1,7+ days
apple,freezer,0.9264,-19.85,57.01,1,102.85,7+ days
apple,refrigerator,0.4241,7.17,94.24,1,15.47,7+ days
apple,room_temp,0.7333,23.76,39.55,1,10.74,7+ days
apple,room_temp,0.1936,34.02,45.34,1,3.01,2-4 days
apple,room_temp,0.229,26.74,65.21,1,3.61,2-4 days
apple,refrigerator,0.0884,3.11,83.14,1,8.4,7+ days
apple,room_temp,0.1408,30.77,41.43,1,3.93,2-4 days
apple,room_temp,0.4351,20.87,88.43,1,6.21,4-7 days
apple,refrigerator,0.4293,2.77,84.26,1,17.43,7+ days
apple,room_temp,0.3854,23.9,44.64,1,6.71,4-7 days
apple,room_temp,0.207,27.55,93.17,1,3.53,2-4 days
apple,freezer,0.4342,-12.31,53.74,1,78.95,7+ days
apple,room_temp,0.4345,29.55,66.96,1,5.85,4-7 days
apple,room_temp,0.0818,36.25,70.74,1,2.66,2-4 days
apple,room_temp,0.341,22.35,38.99,1,5.59,4-7 days
apple,refrigerator,0.7298,5.99,87.85,1,22.16,7+ days
apple,room_temp,0.434,30.07,48.93,1,7.49,7+ days
apple,freezer,0.6763,-18.61,65.88,1,84.13,7+ days
apple,refrigerator,0.2729,5.42,91.44,1,13.71,7+ days
apple,freezer,0.4363,-17.71,64.45,1,65.79,7+ days
apple,refrigerator,0.9347,7.68,82.3,1,26.52,7+ days
apple,refrigerator,0.6265,6.24,82.29,1,19.76,7+ days
apple,refrigerator,0.4733,7.03,81.87,1,17.76,7+ days
apple,freezer,0.5593,-16.67,57.96,1,91.2,7+ days
apple,refrigerator,0.7221,3.06,87.48,1,24.98,7+ days
apple,room_temp,0.1201,21.57,59.88,1,5.37,4-7 days
apple,room_temp,0.3221,22.58,37.19,1,7.39,7+ days
apple,room_temp,0.5041,21.73,45.92,1,7.29,7+ days
apple,freezer,0.4361,-17.78,54.62,1,82.73,7+ days
